#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
72,S11_KA04D5124_TANKER,s11_ka04d5124_tanker,01/01/2014,15:27:42,49661,12.8577/77.5752,Gottigere,,0d 00h 03m,0d,00h,03m,25/01/2024
1,EE_WWMNH_A_V_KA53B3470_SUCTION,ee_wwmnh_a_v_ka53b3470_suction,01/01/2014,05:30:18,22823,,,,0d 00h 02m,0d,00h,02m,25/01/2024
84,S11_KA04D4106_JETTING,s11_ka04d4106_jetting,01/01/2014,16:34:12,95417,12.9226/77.5970,Tilak Nagar,,0d 00h 02m,0d,00h,02m,25/01/2024
68,SW4_KA04D5285_TANKER,sw4_ka04d5285_tanker,01/01/2014,13:59:02,27082,12.9202/77.5440,Bhuvaneshwara Nagar,,0d 00h 02m,0d,00h,02m,25/01/2024
156,NE1_KA04A9516_JETTING,ne1_ka04a9516_jetting,24/01/2024,11:40:09,156093,12.9307/77.5403,Hosakerahalli,,0d 00h 01m,0d,00h,01m,25/01/2024
44,NW3_KA04D4113_JETTING,nw3_ka04d4113_jetting,01/01/2014,05:48:33,14574,,,,0d 00h 01m,0d,00h,01m,25/01/2024
178,SE1_KA04D5303_TANKER,se1_ka04d5303_tanker,24/01/2024,18:53:28,31452,12.9476/77.6194,Kormangla 8th Block,,0d 00h 01m,0d,00h,01m,25/01/2024
8,SE5_KA04A3044_JETTING,se5_ka04a3044_jetting,01/01/2014,05:30:22,17052,,,,0d 00h 01m,0d,00h,01m,25/01/2024
66,C1_KA01D7292_JETTING,c1_ka01d7292_jetting,01/01/2014,13:30:07,25378,,,,0d 00h 00m,0d,00h,00m,26/01/2024
34,C1_KA04AD2944_DESILTING,c1_ka04ad2944_desilting,01/01/2014,05:32:58,51021,,,,0d 00h 00m,0d,00h,00m,26/01/2024
35,C1_KA04D4107_JETTING,c1_ka04d4107_jetting,01/01/2014,05:33:18,15348,,,,0d 00h 00m,0d,00h,00m,26/01/2024
33,C1_KA04D5121_TANKER,c1_ka04d5121_tanker,01/01/2014,05:31:53,12473,,,,0d 00h 00m,0d,00h,00m,26/01/2024
71,C2_KA02AC5935_JETTING,c2_ka02ac5935_jetting,01/01/2014,14:57:57,32286,13.0115/77.6044,DevaraJevanaHalli,,0d 00h 00m,0d,00h,00m,26/01/2024
53,C2_KA02AC5950_JETTING,c2_ka02ac5950_jetting,01/01/2014,09:50:24,18767,,,,0d 00h 00m,0d,00h,00m,26/01/2024
48,C2_KA03C5048_TANKER,c2_ka03c5048_tanker,01/01/2014,07:29:58,14071,,,,0d 00h 00m,0d,00h,00m,26/01/2024
90,C2_KA03C5064_TANKER,c2_ka03c5064_tanker,01/01/2014,17:03:27,47770,13.0158/77.6160,JÄ«vanhalli,,0d 00h 00m,0d,00h,00m,26/01/2024
